orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,shipstate/province,shipzip/postalcode,shipcountry/region,shippingfee,taxes,paymenttype,paiddate,notes,taxrate,taxstatus,statusid,uniquerowid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,productid,unitpricex,quantity,discount,productname,supplierid,categoryid,quantityperunit,unitpricey,unitsinstock,unitsonorder,reorderlevel,discontinued,orderdate_main,year,month,unitprice,totalamount
10465,VAFFE,1,1997-03-05,1997-04-02,1997-03-14,3.0,145.04,Vaffeljernet,Smagsloget 45, rhus,,8200,Denmark,,,,,,,,,,,,217,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45, rhus,,8200,Denmark,86 21 32 43,86 22 33 44,50,13.0,25.0,0.0,Valkoinen suklaa,23.0,3.0,12 - 100 g bars,16.25,65.0,0.0,30.0,False,1997-05-03,1997.0,5.0,13.0,325.0
10466,COMMI,4,1997-03-06,1997-04-03,1997-03-13,1.0,11.93,Com rcio Mineiro,"Av. dos Lus adas, 23",Sao Paulo,SP,05432-043,Brazil,,,,,,,,,,,,218,Com rcio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lus adas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,,11,16.8,10.0,0.0,Queso Cabrales,5.0,4.0,1 kg pkg.,21.0,22.0,30.0,30.0,False,1997-06-03,1997.0,6.0,16.8,168.0
10466,COMMI,4,1997-03-06,1997-04-03,1997-03-13,1.0,11.93,Com rcio Mineiro,"Av. dos Lus adas, 23",Sao Paulo,SP,05432-043,Brazil,,,,,,,,,,,,218,Com rcio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lus adas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,,46,9.6,5.0,0.0,Spegesild,21.0,8.0,4 - 450 g glasses,12.0,95.0,0.0,0.0,False,1997-06-03,1997.0,6.0,9.6,48.0
10467,MAGAA,8,1997-03-06,1997-04-03,1997-03-11,2.0,4.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,,,,,,,,,,,,219,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231,24,3.6,28.0,0.0,Guaran  Fant stica,10.0,1.0,12 - 355 ml cans,4.5,20.0,0.0,0.0,True,1997-06-03,1997.0,6.0,3.6,100.8
10467,MAGAA,8,1997-03-06,1997-04-03,1997-03-11,2.0,4.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,,,,,,,,,,,,219,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231,25,11.2,12.0,0.0,NuNuCa Nu -Nougat-Creme,11.0,3.0,20 - 450 g glasses,14.0,76.0,0.0,30.0,False,1997-06-03,1997.0,6.0,11.2,134.39999999999998
10468,KOENE,3,1997-03-07,1997-04-04,1997-03-12,3.0,44.12,K niglich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,,,,,,,,,,,,220,K niglich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,,30,20.7,8.0,0.0,Nord-Ost Matjeshering,13.0,8.0,10 - 200 g glasses,25.89,10.0,0.0,15.0,False,1997-07-03,1997.0,7.0,20.7,165.6
10468,KOENE,3,1997-03-07,1997-04-04,1997-03-12,3.0,44.12,K niglich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,,,,,,,,,,,,220,K niglich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,,43,36.8,15.0,0.0,Ipoh Coffee,20.0,1.0,16 - 500 g tins,46.0,17.0,10.0,25.0,False,1997-07-03,1997.0,7.0,36.8,552.0
10469,WHITC,1,1997-03-10,1997-04-07,1997-03-14,1.0,60.18,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,,,,,,,,,,,,221,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,2,15.2,40.0,0.1500000059604644,Chang,1.0,1.0,24 - 12 oz bottles,19.0,17.0,40.0,25.0,False,1997-10-03,1997.0,10.0,15.2,608.0
10469,WHITC,1,1997-03-10,1997-04-07,1997-03-14,1.0,60.18,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,,,,,,,,,,,,221,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,16,13.9,35.0,0.1500000059604644,Pavlova,7.0,3.0,32 - 500 g boxes,17.45,29.0,0.0,10.0,False,1997-10-03,1997.0,10.0,13.9,486.5
10469,WHITC,1,1997-03-10,1997-04-07,1997-03-14,1.0,60.18,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,,,,,,,,,,,,221,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,44,15.5,2.0,0.1500000059604644,Gula Malacca,20.0,2.0,20 - 2 kg bags,19.45,27.0,0.0,15.0,False,1997-10-03,1997.0,10.0,15.5,31.0
10470,BONAP,4,1997-03-11,1997-04-08,1997-03-14,2.0,64.56,Bon app',"12, rue des Bouchers",Marseille,,13008,France,,,,,,,,,,,,222,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41,18,50.0,30.0,0.0,Carnarvon Tigers,7.0,8.0,16 kg pkg.,62.5,42.0,0.0,0.0,False,1997-11-03,1997.0,11.0,50.0,1500.0
10470,BONAP,4,1997-03-11,1997-04-08,1997-03-14,2.0,64.56,Bon app',"12, rue des Bouchers",Marseille,,13008,France,,,,,,,,,,,,222,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41,23,7.2,15.0,0.0,Tunnbr d,9.0,5.0,12 - 250 g pkgs.,9.0,61.0,0.0,25.0,False,1997-11-03,1997.0,11.0,7.2,108.0
10470,BONAP,4,1997-03-11,1997-04-08,1997-03-14,2.0,64.56,Bon app',"12, rue des Bouchers",Marseille,,13008,France,,,,,,,,,,,,222,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41,64,26.6,8.0,0.0,Wimmers gute Semmelkn del,12.0,5.0,20 bags x 4 pieces,33.25,22.0,80.0,30.0,False,1997-11-03,1997.0,11.0,26.6,212.8
10471,BSBEV,2,1997-03-11,1997-04-08,1997-03-18,3.0,45.59,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,,,,,,,,,,,,223,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,,7,24.0,30.0,0.0,Uncle Bob's Organic Dried Pears,3.0,7.0,12 - 1 lb pkgs.,30.0,15.0,0.0,10.0,False,1997-11-03,1997.0,11.0,24.0,720.0
10471,BSBEV,2,1997-03-11,1997-04-08,1997-03-18,3.0,45.59,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,,,,,,,,,,,,223,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,,56,30.4,20.0,0.0,Gnocchi di nonna Alice,26.0,5.0,24 - 250 g pkgs.,38.0,21.0,10.0,30.0,False,1997-11-03,1997.0,11.0,30.4,608.0
10472,SEVES,8,1997-03-12,1997-04-09,1997-03-19,1.0,4.2,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK,,,,,,,,,,,,224,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646,24,3.6,80.0,0.050000000745058,Guaran  Fant stica,10.0,1.0,12 - 355 ml cans,4.5,20.0,0.0,0.0,True,1997-12-03,1997.0,12.0,3.6,288.0
10472,SEVES,8,1997-03-12,1997-04-09,1997-03-19,1.0,4.2,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK,,,,,,,,,,,,224,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646,51,42.4,18.0,0.0,Manjimup Dried Apples,24.0,7.0,50 - 300 g pkgs.,53.0,20.0,0.0,10.0,False,1997-12-03,1997.0,12.0,42.4,763.1999999999999
10473,ISLAT,1,1997-03-13,1997-03-27,1997-03-21,3.0,16.37,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,,,,,,,,,,,,225,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,,33,2.0,12.0,0.0,Geitost,15.0,4.0,500 g,2.5,112.0,0.0,20.0,False,,,,2.0,24.0
10473,ISLAT,1,1997-03-13,1997-03-27,1997-03-21,3.0,16.37,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,,,,,,,,,,,,225,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,,71,17.2,12.0,0.0,Flotemysost,15.0,4.0,10 - 500 g pkgs.,21.5,26.0,0.0,0.0,False,,,,17.2,206.39999999999998
10474,PERIC,5,1997-03-13,1997-04-10,1997-03-21,2.0,83.49,Pericles Comidas cl sicas,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,,,,,,,,,,,,226,Pericles Comidas cl sicas,Guillermo Fern ndez,Sales Representative,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745,14,18.6,12.0,0.0,Tofu,6.0,7.0,40 - 100 g pkgs.,23.25,35.0,0.0,0.0,False,,,,18.6,223.20000000000002
10474,PERIC,5,1997-03-13,1997-04-10,1997-03-21,2.0,83.49,Pericles Comidas cl sicas,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,,,,,,,,,,,,226,Pericles Comidas cl sicas,Guillermo Fern ndez,Sales Representative,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745,28,36.4,18.0,0.0,R ssle Sauerkraut,12.0,7.0,25 - 825 g cans,45.6,26.0,0.0,0.0,True,,,,36.4,655.1999999999999
10474,PERIC,5,1997-03-13,1997-04-10,1997-03-21,2.0,83.49,Pericles Comidas cl sicas,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,,,,,,,,,,,,226,Pericles Comidas cl sicas,Guillermo Fern ndez,Sales Representative,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745,40,14.7,21.0,0.0,Boston Crab Meat,19.0,8.0,24 - 4 oz tins,18.4,123.0,0.0,30.0,False,,,,14.7,308.7
10474,PERIC,5,1997-03-13,1997-04-10,1997-03-21,2.0,83.49,Pericles Comidas cl sicas,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,,,,,,,,,,,,226,Pericles Comidas cl sicas,Guillermo Fern ndez,Sales Representative,Calle Dr. Jorge Cash 321,M xico D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745,75,6.2,10.0,0.0,Rh nbr u Klosterbier,12.0,1.0,24 - 0.5 l bottles,7.75,125.0,0.0,25.0,False,,,,6.2,62.0
10475,SUPRD,9,1997-03-14,1997-04-11,1997-04-04,1.0,68.52,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,,,,,,,,,,,227,Supr mes d lices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,31,10.0,35.0,0.1500000059604644,Gorgonzola Telino,14.0,4.0,12 - 100 g pkgs,12.5,0.0,70.0,20.0,False,,,,10.0,350.0
10475,SUPRD,9,1997-03-14,1997-04-11,1997-04-04,1.0,68.52,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,,,,,,,,,,,227,Supr mes d lices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,66,13.6,60.0,0.1500000059604644,Louisiana Hot Spiced Okra,2.0,2.0,24 - 8 oz jars,17.0,4.0,100.0,20.0,False,,,,13.6,816.0
10475,SUPRD,9,1997-03-14,1997-04-11,1997-04-04,1.0,68.52,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,,,,,,,,,,,227,Supr mes d lices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,76,14.4,42.0,0.1500000059604644,Lakkalik  ri,23.0,1.0,500 ml,18.0,57.0,0.0,20.0,False,,,,14.4,604.8000000000001
10476,HILAA,8,1997-03-17,1997-04-14,1997-03-24,3.0,4.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,228,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,55,19.2,2.0,0.050000000745058,P t  chinois,25.0,6.0,24 boxes x 2 pies,24.0,115.0,0.0,20.0,False,,,,19.2,38.4
10476,HILAA,8,1997-03-17,1997-04-14,1997-03-24,3.0,4.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,228,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,70,12.0,12.0,0.0,Outback Lager,7.0,1.0,24 - 355 ml bottles,15.0,15.0,10.0,30.0,False,,,,12.0,144.0
10477,PRINI,5,1997-03-17,1997-04-14,1997-03-25,2.0,13.02,Princesa Isabel Vinhos,Estrada da sa de n. 58,Lisboa,,1756,Portugal,,,,,,,,,,,,229,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da sa de n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,1,14.4,15.0,0.0,Chai,1.0,1.0,10 boxes x 20 bags,18.0,39.0,0.0,10.0,False,,,,14.4,216.0
10477,PRINI,5,1997-03-17,1997-04-14,1997-03-25,2.0,13.02,Princesa Isabel Vinhos,Estrada da sa de n. 58,Lisboa,,1756,Portugal,,,,,,,,,,,,229,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da sa de n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,21,8.0,21.0,0.25,Sir Rodney's Scones,8.0,3.0,24 pkgs. x 4 pieces,10.0,3.0,40.0,5.0,False,,,,8.0,168.0
10477,PRINI,5,1997-03-17,1997-04-14,1997-03-25,2.0,13.02,Princesa Isabel Vinhos,Estrada da sa de n. 58,Lisboa,,1756,Portugal,,,,,,,,,,,,229,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da sa de n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,39,14.4,20.0,0.25,Chartreuse verte,18.0,1.0,750 cc per bottle,18.0,69.0,0.0,5.0,False,,,,14.4,288.0
10478,VICTE,2,1997-03-18,1997-04-01,1997-03-26,3.0,4.81,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,,,,,,,,,,,,230,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87,10,24.8,20.0,0.050000000745058,Ikura,4.0,8.0,12 - 200 ml jars,31.0,31.0,0.0,0.0,False,,,,24.8,496.0
10479,RATTC,3,1997-03-19,1997-04-16,1997-03-21,3.0,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,,,,,,,231,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,38,210.8,30.0,0.0,C te de Blaye,18.0,1.0,12 - 75 cl bottles,263.5,17.0,0.0,15.0,False,,,,210.8,6324.0
10479,RATTC,3,1997-03-19,1997-04-16,1997-03-21,3.0,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,,,,,,,231,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,53,26.2,28.0,0.0,Perth Pasties,24.0,6.0,48 pieces,32.8,0.0,0.0,0.0,True,,,,26.2,733.6
10479,RATTC,3,1997-03-19,1997-04-16,1997-03-21,3.0,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,,,,,,,231,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,59,44.0,60.0,0.0,Raclette Courdavault,28.0,4.0,5 kg pkg.,55.0,79.0,0.0,0.0,False,,,,44.0,2640.0
10479,RATTC,3,1997-03-19,1997-04-16,1997-03-21,3.0,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,,,,,,,231,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,64,26.6,30.0,0.0,Wimmers gute Semmelkn del,12.0,5.0,20 bags x 4 pieces,33.25,22.0,80.0,30.0,False,,,,26.6,798.0
10480,FOLIG,6,1997-03-20,1997-04-17,1997-03-24,2.0,1.35,Folies gourmandes,"184, chauss e de Tournai",Lille,,59000,France,,,,,,,,,,,,232,Folies gourmandes,Martine Ranc ,Assistant Sales Agent,"184, chauss e de Tournai",Lille,,59000,France,20.16.10.16,20.16.10.17,47,7.6,30.0,0.0,Zaanse koeken,22.0,3.0,10 - 4 oz boxes,9.5,36.0,0.0,0.0,False,,,,7.6,228.0
10480,FOLIG,6,1997-03-20,1997-04-17,1997-03-24,2.0,1.35,Folies gourmandes,"184, chauss e de Tournai",Lille,,59000,France,,,,,,,,,,,,232,Folies gourmandes,Martine Ranc ,Assistant Sales Agent,"184, chauss e de Tournai",Lille,,59000,France,20.16.10.16,20.16.10.17,59,44.0,12.0,0.0,Raclette Courdavault,28.0,4.0,5 kg pkg.,55.0,79.0,0.0,0.0,False,,,,44.0,528.0
10481,RICAR,8,1997-03-20,1997-04-17,1997-03-25,2.0,64.33,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,,,,,,,,,,,,233,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,,49,16.0,24.0,0.0,Maxilaku,23.0,3.0,24 - 50 g pkgs.,20.0,10.0,60.0,15.0,False,,,,16.0,384.0
10481,RICAR,8,1997-03-20,1997-04-17,1997-03-25,2.0,64.33,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,,,,,,,,,,,,233,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,,60,27.2,40.0,0.0,Camembert Pierrot,28.0,4.0,15 - 300 g rounds,34.0,19.0,0.0,0.0,False,,,,27.2,1088.0
10482,LAZYK,1,1997-03-21,1997-04-18,1997-04-10,3.0,7.48,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA,,,,,,,,,,,,234,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221,40,14.7,10.0,0.0,Boston Crab Meat,19.0,8.0,24 - 4 oz tins,18.4,123.0,0.0,30.0,False,,,,14.7,147.0
10483,WHITC,7,1997-03-24,1997-04-21,1997-04-25,2.0,15.28,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,,,,,,,,,,,,235,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,34,11.2,35.0,0.050000000745058,Sasquatch Ale,16.0,1.0,24 - 12 oz bottles,14.0,111.0,0.0,15.0,False,,,,11.2,392.0
10483,WHITC,7,1997-03-24,1997-04-21,1997-04-25,2.0,15.28,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,,,,,,,,,,,,235,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,77,10.4,30.0,0.050000000745058,Original Frankfurter gr ne So e,12.0,2.0,12 boxes,13.0,32.0,0.0,15.0,False,,,,10.4,312.0
10484,BSBEV,3,1997-03-24,1997-04-21,1997-04-01,3.0,6.88,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,,,,,,,,,,,,236,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,,21,8.0,14.0,0.0,Sir Rodney's Scones,8.0,3.0,24 pkgs. x 4 pieces,10.0,3.0,40.0,5.0,False,,,,8.0,112.0
10484,BSBEV,3,1997-03-24,1997-04-21,1997-04-01,3.0,6.88,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,,,,,,,,,,,,236,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,,40,14.7,10.0,0.0,Boston Crab Meat,19.0,8.0,24 - 4 oz tins,18.4,123.0,0.0,30.0,False,,,,14.7,147.0
10484,BSBEV,3,1997-03-24,1997-04-21,1997-04-01,3.0,6.88,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,,,,,,,,,,,,236,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,,51,42.4,3.0,0.0,Manjimup Dried Apples,24.0,7.0,50 - 300 g pkgs.,53.0,20.0,0.0,10.0,False,,,,42.4,127.19999999999999
10485,LINOD,4,1997-03-25,1997-04-08,1997-03-31,2.0,64.45,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,,,,,,,,,,,,237,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,2,15.2,20.0,0.1000000014901161,Chang,1.0,1.0,24 - 12 oz bottles,19.0,17.0,40.0,25.0,False,,,,15.2,304.0
10485,LINOD,4,1997-03-25,1997-04-08,1997-03-31,2.0,64.45,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,,,,,,,,,,,,237,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,3,8.0,20.0,0.1000000014901161,Aniseed Syrup,1.0,2.0,12 - 550 ml bottles,10.0,13.0,70.0,25.0,False,,,,8.0,160.0
10485,LINOD,4,1997-03-25,1997-04-08,1997-03-31,2.0,64.45,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,,,,,,,,,,,,237,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,55,19.2,30.0,0.1000000014901161,P t  chinois,25.0,6.0,24 boxes x 2 pies,24.0,115.0,0.0,20.0,False,,,,19.2,576.0
10485,LINOD,4,1997-03-25,1997-04-08,1997-03-31,2.0,64.45,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,,,,,,,,,,,,237,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,70,12.0,60.0,0.1000000014901161,Outback Lager,7.0,1.0,24 - 355 ml bottles,15.0,15.0,10.0,30.0,False,,,,12.0,720.0
10486,HILAA,1,1997-03-26,1997-04-23,1997-04-02,2.0,30.53,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,238,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,11,16.8,5.0,0.0,Queso Cabrales,5.0,4.0,1 kg pkg.,21.0,22.0,30.0,30.0,False,,,,16.8,84.0
10486,HILAA,1,1997-03-26,1997-04-23,1997-04-02,2.0,30.53,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,238,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,51,42.4,25.0,0.0,Manjimup Dried Apples,24.0,7.0,50 - 300 g pkgs.,53.0,20.0,0.0,10.0,False,,,,42.4,1060.0
10486,HILAA,1,1997-03-26,1997-04-23,1997-04-02,2.0,30.53,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,,,,,,,,,,,,238,HILARION-Abastos,Carlos Hern ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,(5) 555-1340,(5) 555-1948,74,8.0,16.0,0.0,Longlife Tofu,4.0,7.0,5 kg pkg.,10.0,4.0,20.0,5.0,False,,,,8.0,128.0
10487,QUEEN,2,1997-03-26,1997-04-23,1997-03-28,2.0,71.07,Queen Cozinha,"Alameda dos Can rios, 891",Sao Paulo,SP,05487-020,Brazil,,,,,,,,,,,,239,Queen Cozinha,L cia Carvalho,Marketing Assistant,"Alameda dos Can rios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,,19,7.3,5.0,0.0,Teatime Chocolate Biscuits,8.0,3.0,10 boxes x 12 pieces,9.2,25.0,0.0,5.0,False,,,,7.3,36.5
10487,QUEEN,2,1997-03-26,1997-04-23,1997-03-28,2.0,71.07,Queen Cozinha,"Alameda dos Can rios, 891",Sao Paulo,SP,05487-020,Brazil,,,,,,,,,,,,239,Queen Cozinha,L cia Carvalho,Marketing Assistant,"Alameda dos Can rios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,,26,24.9,30.0,0.0,Gumb r Gummib rchen,11.0,3.0,100 - 250 g bags,31.23,15.0,0.0,0.0,False,,,,24.9,747.0
